tair,rh,D_air,irradiance,apar,Cs,bm_c,bm_n,rCN,Vm25,LAI,Ac,An,Reco,NEE
0.1959,0.0,0.1765016377672848,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.900633806072272,1.900633806072272
-1.7036,0.0,0.15392004973137902,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.666164212380304,1.666164212380304
-7.9253,0.0,0.07203472735642318,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.0824951758697345,1.0824951758697345
-8.826,0.0,0.06725185388873224,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.0169794982938851,1.0169794982938851
-8.826,0.0,0.06725185388873224,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.0169794982938851,1.0169794982938851
-7.9253,0.0,0.07203472735642318,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.0824951758697345,1.0824951758697345
-6.1854,0.0,0.08215042186644525,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.2212432562565416,1.2212432562565416
-3.7248,0.0,0.09864112785972193,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.4483503188463325,1.4483503188463325
-0.7112,0.0,0.1228588533588606,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.7848101159266097,1.7848101159266097
2.6501,0.0,0.15606219646245634,0.0,126.50574999999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.253083209991467,2.253083209991467
6.1299,0.0,0.19870875022985204,0.0,457.54521,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.86767314376576,2.86767314376576
9.4912,0.0,0.2495228799687925,0.0,727.8377599999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.6200524382436505,3.6200524382436505
12.5048,0.0,0.3046458926757363,0.0,918.9636199999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.461010660120253,4.461010660120253
14.9654,0.0,0.35746101008622416,0.0,1017.89766,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.290597249042084,5.290597249042084
16.7053,0.0,0.3995892368363392,0.0,1017.89766,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.968715940716209,5.968715940716209
17.606,0.0,0.42309119290887875,0.0,918.9636199999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,6.353231528070525,6.353231528070525
17.606,0.0,0.42309119290887875,0.0,727.8377599999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,6.353231528070525,6.353231528070525
