tair,rh,D_air,rad,apar,LAI,Ac,Reco,NEE
14.6236,0.0,0.0,0.0,0.0,0.0,0.0,8.626801955116628e8,8.626801955116628e8
12.7242,0.0,0.0,0.0,0.0,0.0,0.0,7.562618464435393e8,7.562618464435393e8
10.3978,0.0,0.0,0.0,0.0,0.0,0.0,6.436363636146278e8,6.436363636146278e8
7.8031,0.0,0.0,0.0,0.0,0.0,0.0,5.376904457474086e8,5.376904457474086e8
5.1169,0.0,0.0,0.0,0.0,0.0,0.0,4.4634393934388816e8,4.4634393934388816e8
2.5222,0.0,0.0,0.0,0.0,0.0,0.0,3.7287338825089395e8,3.7287338825089395e8
0.1959,0.0,0.0,0.0,0.0,0.0,0.0,3.173458192483868e8,3.173458192483868e8
-1.7036,0.0,0.0,0.0,0.0,0.0,0.0,2.781968021882405e8,2.781968021882405e8
-7.9253,0.0,0.0,0.0,0.0,0.0,0.0,1.807425066950243e8,1.807425066950243e8
-8.826,0.0,0.0,0.0,0.0,0.0,0.0,1.6980345767490456e8,1.6980345767490456e8
-8.826,0.0,0.0,0.0,0.0,0.0,0.0,1.6980345767490456e8,1.6980345767490456e8
-7.9253,0.0,0.0,0.0,0.0,0.0,0.0,1.807425066950243e8,1.807425066950243e8
-6.1854,0.0,0.0,0.0,0.0,0.0,0.0,2.0390905413768175e8,2.0390905413768175e8
-3.7248,0.0,0.0,0.0,0.0,0.0,0.0,2.4182876102934754e8,2.4182876102934754e8
-0.7112,0.0,0.0,0.0,0.0,0.0,0.0,2.980069209712882e8,2.980069209712882e8
2.6501,0.0,0.0,0.0,0.0,0.0,0.0,3.761937385440454e8,3.761937385440454e8
6.1299,0.0,0.0,0.0,0.0,0.0,0.0,4.7881084732759804e8,4.7881084732759804e8
9.4912,0.0,0.0,0.0,0.0,0.0,0.0,6.044344276452736e8,6.044344276452736e8
12.5048,0.0,0.0,0.0,0.0,0.0,0.0,7.448478913132707e8,7.448478913132707e8
14.9654,0.0,0.0,0.0,0.0,0.0,0.0,8.833626514200171e8,8.833626514200171e8
16.7053,0.0,0.0,0.0,0.0,0.0,0.0,9.965870563892647e8,9.965870563892647e8
17.606,0.0,0.0,0.0,0.0,0.0,0.0,1.0607890155951244e9,1.0607890155951244e9
17.606,0.0,0.0,0.0,0.0,0.0,0.0,1.0607890155951244e9,1.0607890155951244e9
16.7053,0.0,0.0,0.0,0.0,0.0,0.0,9.965870563892647e8,9.965870563892647e8
14.9654,0.0,0.0,0.0,0.0,0.0,0.0,8.833626514200171e8,8.833626514200171e8
12.5048,0.0,0.0,0.0,0.0,0.0,0.0,7.448478913132707e8,7.448478913132707e8
9.4912,0.0,0.0,0.0,0.0,0.0,0.0,6.044344276452736e8,6.044344276452736e8
6.1299,0.0,0.0,0.0,0.0,0.0,0.0,4.7881084732759804e8,4.7881084732759804e8
2.6501,0.0,0.0,0.0,0.0,0.0,0.0,3.761937385440454e8,3.761937385440454e8
-0.7111,0.0,0.0,0.0,0.0,0.0,0.0,2.980089866050183e8,2.980089866050183e8
-3.7248,0.0,0.0,0.0,0.0,0.0,0.0,2.4182876102934754e8,2.4182876102934754e8
-6.1854,0.0,0.0,0.0,0.0,0.0,0.0,2.0390905413768175e8,2.0390905413768175e8
-8.4187,0.0,0.0,0.0,0.0,0.0,0.0,1.746656406605751e8,1.746656406605751e8
-9.2808,0.0,0.0,0.0,0.0,0.0,0.0,1.6453401107975492e8,1.6453401107975492e8
-9.2808,0.0,0.0,0.0,0.0,0.0,0.0,1.6453401107975492e8,1.6453401107975492e8
-8.4187,0.0,0.0,0.0,0.0,0.0,0.0,1.746656406605751e8,1.746656406605751e8
-6.7532,0.0,0.0,0.0,0.0,0.0,0.0,1.9603969896824807e8,1.9603969896824807e8
-4.3978,0.0,0.0,0.0,0.0,0.0,0.0,2.3080681718313342e8,2.3080681718313342e8
-1.513,0.0,0.0,0.0,0.0,0.0,0.0,2.8189655292369384e8,2.8189655292369384e8
1.7045,0.0,0.0,0.0,0.0,0.0,0.0,3.52327195097945e8,3.52327195097945e8
5.0355,0.0,0.0,0.0,0.0,0.0,0.0,4.4383266076571435e8,4.4383266076571435e8
8.253,0.0,0.0,0.0,0.0,0.0,0.0,5.547223434930423e8,5.547223434930423e8
11.1378,0.0,0.0,0.0,0.0,0.0,0.0,6.775116886446506e8,6.775116886446506e8
13.4932,0.0,0.0,0.0,0.0,0.0,0.0,7.976665812253125e8,7.976665812253125e8
15.1587,0.0,0.0,0.0,0.0,0.0,0.0,8.952780630984058e8,8.952780630984058e8
16.0208,0.0,0.0,0.0,0.0,0.0,0.0,9.504072467098746e8,9.504072467098746e8
16.0208,0.0,0.0,0.0,0.0,0.0,0.0,9.504072467098746e8,9.504072467098746e8
15.1587,0.0,0.0,0.0,0.0,0.0,0.0,8.952780630984058e8,8.952780630984058e8
13.4932,0.0,0.0,0.0,0.0,0.0,0.0,7.976665812253125e8,7.976665812253125e8
11.1378,0.0,0.0,0.0,0.0,0.0,0.0,6.775116886446506e8,6.775116886446506e8
8.2531,0.0,0.0,0.0,0.0,0.0,0.0,5.547261885486534e8,5.547261885486534e8
5.0355,0.0,0.0,0.0,0.0,0.0,0.0,4.4383266076571435e8,4.4383266076571435e8
1.7045,0.0,0.0,0.0,0.0,0.0,0.0,3.52327195097945e8,3.52327195097945e8
-1.513,0.0,0.0,0.0,0.0,0.0,0.0,2.8189655292369384e8,2.8189655292369384e8
-4.3978,0.0,0.0,0.0,0.0,0.0,0.0,2.3080681718313342e8,2.3080681718313342e8
-6.7532,0.0,0.0,0.0,0.0,0.0,0.0,1.9603969896824807e8,1.9603969896824807e8
-8.7404,0.0,0.0,0.0,0.0,0.0,0.0,1.7081395414463484e8,1.7081395414463484e8
-9.5478,0.0,0.0,0.0,0.0,0.0,0.0,1.615169795062643e8,1.615169795062643e8
-9.5478,0.0,0.0,0.0,0.0,0.0,0.0,1.615169795062643e8,1.615169795062643e8
-8.7404,0.0,0.0,0.0,0.0,0.0,0.0,1.7081395414463484e8,1.7081395414463484e8
-7.1806,0.0,0.0,0.0,0.0,0.0,0.0,1.9031718480460772e8,1.9031718480460772e8
-4.9747,0.0,0.0,0.0,0.0,0.0,0.0,2.2175948874140498e8,2.2175948874140498e8
-2.2731,0.0,0.0,0.0,0.0,0.0,0.0,2.6742898456797826e8,2.6742898456797826e8
0.7402,0.0,0.0,0.0,0.0,0.0,0.0,3.2954736534374166e8,3.2954736534374166e8
3.8598,0.0,0.0,0.0,0.0,0.0,0.0,4.090978163405583e8,4.090978163405583e8
6.8731,0.0,0.0,0.0,0.0,0.0,0.0,5.041230207739125e8,5.041230207739125e8
9.5747,0.0,0.0,0.0,0.0,0.0,0.0,6.079429038552659e8,6.079429038552659e8
11.7806,0.0,0.0,0.0,0.0,0.0,0.0,7.083811568635842e8,7.083811568635842e8
13.3404,0.0,0.0,0.0,0.0,0.0,0.0,7.892628457552925e8,7.892628457552925e8
14.1478,0.0,0.0,0.0,0.0,0.0,0.0,8.346930951471891e8,8.346930951471891e8
14.1478,0.0,0.0,0.0,0.0,0.0,0.0,8.346930951471891e8,8.346930951471891e8
13.3404,0.0,0.0,0.0,0.0,0.0,0.0,7.892628457552925e8,7.892628457552925e8
11.7806,0.0,0.0,0.0,0.0,0.0,0.0,7.083811568635842e8,7.083811568635842e8
9.5747,0.0,0.0,0.0,0.0,0.0,0.0,6.079429038552659e8,6.079429038552659e8
6.8731,0.0,0.0,0.0,0.0,0.0,0.0,5.041230207739125e8,5.041230207739125e8
3.8598,0.0,0.0,0.0,0.0,0.0,0.0,4.090978163405583e8,4.090978163405583e8
0.7402,0.0,0.0,0.0,0.0,0.0,0.0,3.2954736534374166e8,3.2954736534374166e8
-2.273,0.0,0.0,0.0,0.0,0.0,0.0,2.6743083825086847e8,2.6743083825086847e8
-4.9747,0.0,0.0,0.0,0.0,0.0,0.0,2.2175948874140498e8,2.2175948874140498e8
-7.1806,0.0,0.0,0.0,0.0,0.0,0.0,1.9031718480460772e8,1.9031718480460772e8
-11.1614,0.0,0.0,0.0,0.0,0.0,0.0,1.4442553475989866e8,1.4442553475989866e8
-11.9945,0.0,0.0,0.0,0.0,0.0,0.0,1.3632175712832657e8,1.3632175712832657e8
-11.9945,0.0,0.0,0.0,0.0,0.0,0.0,1.3632175712832657e8,1.3632175712832657e8
-11.1614,0.0,0.0,0.0,0.0,0.0,0.0,1.4442553475989866e8,1.4442553475989866e8
