tair,rh,D_air,irradiance,apar,Cs,bm_c,bm_n,rCN,Vm25,LAI,Ac,An,Reco,NEE
14.6236,0.0,0.4706614381709801,0.0,900.76096,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.249517302057299,4.249517302057299
15.9667,0.0,0.513096382699512,0.0,900.76096,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.664133155707128,4.664133155707128
16.662,0.0,0.5363775024770607,0.0,813.0460899999998,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.894423627138724,4.894423627138724
16.662,0.0,0.5363775024770607,0.0,643.5938199999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.894423627138724,4.894423627138724
15.9667,0.0,0.513096382699512,0.0,403.95222,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.664133155707128,4.664133155707128
14.6236,0.0,0.4706614381709801,0.0,110.45243999999998,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.249517302057299,4.249517302057299
12.7242,0.0,0.4159956254187899,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,3.725306107718767,3.725306107718767
10.3978,0.0,0.35680915296486204,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,3.1705188987112067,3.1705188987112067
7.8031,0.0,0.2997741193341492,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,2.6486348756381344,2.6486348756381344
5.1169,0.0,0.24945872385013637,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,2.198666786114512,2.198666786114512
2.5222,0.0,0.2081827779613651,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.836754712920124,1.836754712920124
0.1959,0.0,0.1765016377672848,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.563228826450247,1.563228826450247
-1.7036,0.0,0.15392004973137902,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.3703828260190498,1.3703828260190498
-7.9253,0.0,0.07203472735642318,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,0.8945334026198568,0.8945334026198568
-8.826,0.0,0.06725185388873224,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,0.8403937045470382,0.8403937045470382
-8.826,0.0,0.06725185388873224,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,0.8403937045470382,0.8403937045470382
-7.9253,0.0,0.07203472735642318,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,0.8945334026198568,0.8945334026198568
-6.1854,0.0,0.08215042186644525,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.009189611000336,1.009189611000336
-3.7248,0.0,0.09864112785972193,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.1968623674116716,1.1968623674116716
-0.7112,0.0,0.1228588533588606,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.4749001211459438,1.4749001211459438
2.6501,0.0,0.15606219646245634,0.0,126.50574999999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.8618634384213393,1.8618634384213393
6.1299,0.0,0.19870875022985204,0.0,457.54521,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,2.369737502833049,2.369737502833049
9.4912,0.0,0.2495228799687925,0.0,727.8377599999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,2.991475525646211,2.991475525646211
12.5048,0.0,0.3046458926757363,0.0,918.9636199999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,3.686411850948549,3.686411850948549
14.9654,0.0,0.35746101008622416,0.0,1017.89766,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.371951085393459,4.371951085393459
16.7053,0.0,0.3995892368363392,0.0,1017.89766,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.9323229319986925,4.9323229319986925
17.606,0.0,0.42309119290887875,0.0,918.9636199999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,5.250072187961956,5.250072187961956
17.606,0.0,0.42309119290887875,0.0,727.8377599999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,5.250072187961956,5.250072187961956
16.7053,0.0,0.3995892368363392,0.0,457.54521,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.9323229319986925,4.9323229319986925
14.9654,0.0,0.35746101008622416,0.0,126.50574999999999,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,4.371951085393459,4.371951085393459
12.5048,0.0,0.3046458926757363,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,3.686411850948549,3.686411850948549
9.4912,0.0,0.2495228799687925,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,2.991475525646211,2.991475525646211
6.1299,0.0,0.19870875022985204,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,2.369737502833049,2.369737502833049
2.6501,0.0,0.15606219646245634,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.8618634384213393,1.8618634384213393
-0.7111,0.0,0.12285973851673834,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.4749103444099838,1.4749103444099838
-3.7248,0.0,0.09864112785972193,0.0,0.0,400.0,0.0,0.0,30.0,38.43125,0.0,0.0,0.0,1.1968623674116716,1.1968623674116716
