Time,cPOMh,cPOMo,cMOM,cDOM,cQOM,cMBA,cMBD,cEM,nPOMh,nPOMo,nMOM,nDOM,nQOM,nMBA,nMBD,nEM
9.267002525375933e-5,0.0003721516950440523,0.03769302828594407,1.0646225342908162,0.0731964021497819,0.11900176666618693,0.02365993945577997,0.03249497295826573,5.983077260262412e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5657926081700247e-5,0.0004392037620308732,0.03768590476205151,1.0652441590440431,0.0437723852368721,0.15040795603904306,0.02364723522494936,0.03232084097152717,5.966557826229639e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.794909148244763e-6,0.00045097299178280156,0.03767895245145028,1.0658538042762966,0.02979290263900382,0.16631948031472937,0.02363452803440038,0.03214764910960771,5.950406454660001e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.271400910384136e-6,0.0004532395504841894,0.03767202184945529,1.0664571313495792,0.0230578980121096,0.17495352564959843,0.02362181872491576,0.03197527454902855,5.93464778028033e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2874240363190966e-6,0.00045415433148266886,0.03766496487410012,1.0670595285669562,0.019893019090361275,0.1799985840662373,0.023609107822251327,0.03180385007930352,5.919327228566759e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.390017897007102e-6,0.0004548609977353685,0.037657929932958314,1.0676556318868575,0.01839505009101748,0.18334250697746377,0.02359639577772069,0.031633368948152635,5.90441847546471e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.474802559812028e-6,0.0004554475366062535,0.03765091694255534,1.0682455122400618,0.017710549235493995,0.18583866564244345,0.02358114605531858,0.03146382054445547,5.889927347986735e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.634681592578181e-6,0.00045610423369478296,0.03764377937763646,1.0688342152712902,0.01751584520115721,0.1878213171417101,0.02356847523872464,0.031295218592380235,5.875920854952591e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9426153861877856e-6,0.0004576662635929245,0.037636664078731154,1.0694167254144475,0.017469635495614897,0.18961975026722727,0.02355330098942516,0.031127739185611143,5.8623542361763266e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.649855484758712e-6,0.00045769415696656184,0.037629570959237975,1.069993113126931,0.0174947475825793,0.1913110095397911,0.02353744547866156,0.030960911717558593,5.849234439760171e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4705938328362097e-6,0.00045668858995253503,0.03762264501022059,1.0705586795152817,0.017459707647653682,0.19301885462238913,0.02352089804171411,0.030794938006651007,5.83648553132907e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4193899560753796e-6,0.0004555110872627459,0.03761588539507208,1.0711135481627663,0.01739193738217743,0.1947174412896292,0.023504393153162294,0.03062986814724064,5.824095103688938e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5085656966361557e-6,0.0004542225489944573,0.037609002402389256,1.071667459638148,0.01749567838237666,0.1962170807492721,0.02348866083989021,0.030465718715943394,5.812248110031504e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4368089574478004e-6,0.000452729355408648,0.0376022846787042,1.0722109373116755,0.01749310012006206,0.19778287872414993,0.0234729746426834,0.0303024488565908,5.800757655758041e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.411051637357664e-6,0.0004508949419691031,0.03759558776655714,1.0727488327171064,0.017531266818370222,0.1992741122992488,0.023458036219524935,0.030140064226435427,5.789724794588556e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7723998476247845e-6,0.00044929162431266964,0.0375884778367287,1.0732947094281666,0.017876036418899337,0.2004314444890756,0.023445636240356883,0.029978726740397994,5.7795295921435086e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.613914200535472e-6,0.00044679732874892345,0.037581389965335554,1.073834832293268,0.0180822701298379,0.20168865596668245,0.02344110835877059,0.029818118384640123,5.7698501210428035e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.483457129588418e-6,0.0004433186293151454,0.0375743240629209,1.0743692671565674,0.018218577756207627,0.20297686544178734,0.023444139405463978,0.029658324095238383,5.760695993808625e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4149279501872734e-6,0.00043915830438466145,0.037567280039671504,1.074898079056266,0.018318653606196705,0.2042620958567801,0.02346122082824937,0.029499374813596792,5.7520769690933755e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.473195441995424e-6,0.0004344959735265344,0.037560111937380854,1.0754254776491843,0.018494207585962198,0.20542786600646015,0.02347788857784903,0.029341302619470908,5.744167062139612e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.16537171091824e-6,0.0004275099613982649,0.0375529660061626,1.0759472886812589,0.018608971152032406,0.2066127361484119,0.02349418646476125,0.029183968654277557,5.736831401085111e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1547081092931907e-6,0.0004201977742238201,0.03754584215288741,1.0764635764863577,0.01869181364662802,0.20778744763663828,0.02350311168454303,0.029027488580317198,5.730081624062147e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.139036783481707e-6,0.00041252545388676873,0.037538740283630447,1.0769744045854197,0.018756864882816037,0.20893746710700464,0.023504619129750815,0.028871850672220294,5.723929587302016e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.095179609157283e-6,0.0004042698786479404,0.03753166030407869,1.0774798356920172,0.018811021639419667,0.2100554742191956,0.023513099151217604,0.028717041811420204,5.718387502543837e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1084872098520168e-6,0.00039585870973963085,0.03752460211963931,1.0779799317182353,0.018857631707885736,0.2111376784481648,0.02352825528396939,0.028563076103909037,5.7134679227373245e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0421648942015037e-6,0.0003873994735580815,0.03751770882596042,1.0784709511264394,0.01880552058709067,0.2122878564179084,0.023536104850738718,0.02840993269263495,5.708955894529775e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0262944114557424e-6,0.00037858666222478026,0.037510836678765945,1.0789568413412807,0.018796560075504044,0.2133527722827977,0.023550641674845316,0.028257616298771306,5.7050687236421034e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9090536515276034e-6,0.0003686727326699332,0.03750398558491035,1.0794376603762803,0.01880680525146858,0.21435593550301882,0.023571340863895247,0.028106084296459548,5.7018188917793974e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8567554984783018e-6,0.00035734200314614705,0.037497013571671456,1.0799171082841514,0.018916027079093584,0.21519946358256906,0.023604057562357752,0.027955353039135798,5.699481858515846e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8736293919630055e-6,0.00034598438047089657,0.0374900628750404,1.0803915179390926,0.018978415436820075,0.21604399483731043,0.023647513833788433,0.02780543749192555,5.697834735542944e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7866663390020409e-6,0.0003334550639249234,0.03748313339730183,1.0808609465725412,0.019015253166580256,0.21686768028645734,0.023690305518021933,0.027656304641460915,5.696892373144004e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7682467160706761e-6,0.00032004006825980027,0.03747622504041023,1.081325450651765,0.019036989992028675,0.21765947966275304,0.02372691892841371,0.027507962141218086,5.696670059018788e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
