Time,T_air,D_air,Wind,Rain,Ca,SWC,P_soil,H_sun,A_net,E_crit,LAI_sl,PAR_sl,RAD_sl,E_sl,P_sl,An_sl,Ag_sl,C_sl,G_sl,T_sl,LAI_sh,PAR_sh,RAD_sh,E_sh,P_sh,An_sh,Ag_sh,C_sh,G_sh,T_sh
141.0,-1.714750479,0.537650704,1.292748179,0.0,40.0,0.476,0.0,-39.943326910321815,-0.17359718425189538,50.0,0.0,0.0,0.0,0.0,-0.058859999999999996,-0.17359718425189538,0.0,40.0,0.0,270.69046342672857,3.0,0.0,0.0,0.0,-0.058859999999999996,-0.17359718425189538,0.0,40.0,0.0,270.69046342672857
141.04166666666666,-3.433324689,0.473012982,0.760814846,0.0,40.0,0.476,0.0,-37.89347497663823,-0.1512559436834656,50.0,0.0,0.0,0.0,0.0,-0.058859999999999996,-0.1512559436834656,0.0,40.0,0.0,268.89168908408544,3.0,0.0,0.0,0.0,-0.058859999999999996,-0.1512559436834656,0.0,40.0,0.0,268.89168908408544
141.08333333333334,-1.839768096,0.5326985,0.833423856,0.0,40.0,0.476,0.0,-32.1962081341764,-0.17091449797912964,50.0,0.0,0.0,0.0,0.0,-0.058859999999999996,-0.17091449797912964,0.0,40.0,0.0,270.4858698399376,3.0,0.0,0.0,0.0,-0.058859999999999996,-0.17091449797912964,0.0,40.0,0.0,270.4858698399376
141.125,0.578430595,0.414326606,0.533910167,0.0,40.0,0.476,0.0,-23.794078668841138,-0.2035219762908456,50.0,0.0,0.0,0.0,0.0,-0.058859999999999996,-0.2035219762908456,0.0,40.0,0.0,272.79830917994184,3.0,0.0,0.0,0.0,-0.058859999999999996,-0.2035219762908456,0.0,40.0,0.0,272.79830917994184
141.16666666666666,1.315868295,0.268079361,0.1178639,0.0,40.0,0.476,0.0,-13.58590534060086,-0.2110957236738228,50.0,0.0,0.0,0.0,0.0,-0.058859999999999996,-0.2110957236738228,0.0,40.0,0.0,273.2874713940258,3.0,0.0,0.0,0.0,-0.058859999999999996,-0.2110957236738228,0.0,40.0,0.0,273.2874713940258
141.20833333333334,1.586331402,0.405679534,1.068545185,0.0,40.0,0.476,0.0,-2.2157314310373977,-0.22133871135257258,50.0,0.0,0.0,0.0,0.0,-0.058859999999999996,-0.22133871135257258,0.0,40.0,0.0,273.9246219336654,3.0,0.0,0.0,0.0,-0.058859999999999996,-0.22133871135257258,0.0,40.0,0.0,273.9246219336654
141.25,1.235533737,0.278477296,0.567729787,0.0,40.0,0.476,0.0,9.898354712364565,-0.05654265388465299,24.992349531310765,0.3439724469590059,12.40169068558894,2.9182325264111295,0.13249999999999995,-0.06901833344565533,0.953717902517883,1.1673849766057982,39.53484152091745,0.33239584638155084,273.4499763854258,2.6560275530409942,0.2592378573116097,0.06475611176595643,0.0,-0.058859999999999996,-0.18737781606287596,0.02644834739095156,19026.057212570908,0.0,273.4599729721437
141.29166666666666,4.435972845,0.229654079,0.278217062,0.0,40.0,0.47599140671144,-0.0061815035605639924,22.484933934801305,1.4061543127172245,24.992349531310765,0.7501936534913165,146.40671509705368,34.812569038125545,0.019199999999999943,-0.0603320000262546,4.449202375560777,4.723298863081743,14.012691112250568,0.02775603631147588,276.8403934049858,2.2498063465086835,7.143819250706356,2.0857885142339234,0.054500000000000035,-0.06303833340785814,0.39145571541043317,0.6589203131113603,37.82650081181316,0.029198446876477116,276.50280486454943
141.33333333333334,5.930836911,0.338988382,0.625031285,0.0,40.0,0.4759866268973505,-0.006182173126089506,35.3531561359045,2.8141794025312894,24.908102505507813,1.0711802660786842,239.8323054764981,57.77133136100667,0.05929999999999994,-0.06958783697891621,5.342077183774671,5.6532476274076995,16.163875742158183,0.03633382439465285,278.60457353470684,1.9288197339213158,18.864882490391516,5.843986959271632,0.14040000000000002,-0.07580550378381411,1.4102979664849367,1.7112096054680168,35.66218222577801,0.052707955526680804,278.13575147122407
141.375,7.706788928,0.448093352,0.535402579,0.0,40.0,0.4759736753522529,-0.006183987810691962,48.33644900705688,4.158650074269717,24.908093380122125,1.2940874687942903,298.78140505581166,72.66525202407158,0.13119999999999993,-0.0751008400375674,6.433723805609269,6.788451650738918,18.692972163826816,0.0489526418881662,280.4560538961051,1.7059125312057097,31.131456083259774,9.767514015521886,0.2154,-0.08155617354798332,2.432802850304071,2.7733883560939065,34.14408081980491,0.06735168057393788,279.8776585465262
141.41666666666666,9.380583789,0.495793025,0.53171792,0.0,40.0,0.4759511966064801,-0.006187138796608795,61.200353646349974,5.349046688691773,24.90806864811872,1.4367667279124459,338.20006299553756,82.75417369695113,0.22079999999999997,-0.08197198854058024,7.627342399396522,8.027045784720459,21.428850726156718,0.06658418020104914,282.1725814598723,1.5632332720875541,41.531211910605045,13.03699369199199,0.2576,-0.08479332199556161,3.2550665182755405,3.637892211878925,33.35958670561241,0.07946965957508198,281.5486910777096
141.45833333333334,12.04598087,0.543863809,0.538684033,0.0,40.0,0.4759201699706529,-0.006191490940966112,73.24801804272913,6.810292302161621,24.908025703910116,1.5158721338183683,365.528462949996,89.73730505721392,0.4472999999999999,-0.09934014117493227,9.840310497629044,10.318203151531783,26.44580309332777,0.11769868394713286,284.80505180629063,1.4841278661816317,48.965615405011185,15.345035884142483,0.2787,-0.08641414027847498,3.7154645234144437,4.1743678573901875,32.81045952289455,0.08378158666107954,284.20002781481037
